Country Code,Province Code,Holiday Name,Type of Holiday,Date,Start,End
AI,,National Heroes and Heroines Day,public,2019-12-19 00:00:00,2019-12-19T04:00:00.000Z,2019-12-20T04:00:00.000Z
AI,,Christmas Day,public,2019-12-25 00:00:00,2019-12-25T04:00:00.000Z,2019-12-26T04:00:00.000Z
AI,,Boxing Day,public,2019-12-26 00:00:00,2019-12-26T04:00:00.000Z,2019-12-27T04:00:00.000Z
AL,,Viti i Ri,public,2018-01-01 00:00:00,2017-12-31T23:00:00.000Z,2018-01-01T23:00:00.000Z
AL,,Festa e Vitit të Ri,public,2018-01-02 00:00:00,2018-01-01T23:00:00.000Z,2018-01-02T23:00:00.000Z
AL,,Dita e Besëlidhjes së Lezhës,observance,2018-03-02 00:00:00,2018-03-01T23:00:00.000Z,2018-03-02T23:00:00.000Z
AL,,Dita e Mësuesit,observance,2018-03-07 00:00:00,2018-03-06T23:00:00.000Z,2018-03-07T23:00:00.000Z
AL,,Dita e Nënës,observance,2018-03-08 00:00:00,2018-03-07T23:00:00.000Z,2018-03-08T23:00:00.000Z
AL,,Dita e Verës,public,2018-03-14 00:00:00,2018-03-13T23:00:00.000Z,2018-03-14T23:00:00.000Z
AL,,Dita e Sulltan Nevruzit,public,2018-03-22 00:00:00,2018-03-21T23:00:00.000Z,2018-03-22T23:00:00.000Z
AL,,Dita e Gënjeshtrave,observance,2018-04-01 00:00:00,2018-03-31T22:00:00.000Z,2018-04-01T22:00:00.000Z
AL,,Pashkët Katolike,public,2018-04-01 00:00:00,2018-03-31T22:00:00.000Z,2018-04-01T22:00:00.000Z
AL,,Pashkët Katolike,public,2018-04-02 00:00:00,2018-04-01T22:00:00.000Z,2018-04-02T22:00:00.000Z
AL,,Pashkët Ortodokse,public,2018-04-08 00:00:00,2018-04-07T22:00:00.000Z,2018-04-08T22:00:00.000Z
AL,,Pashkët Ortodokse,public,2018-04-09 00:00:00,2018-04-08T22:00:00.000Z,2018-04-09T22:00:00.000Z
AL,,Dita Ndërkombëtare e Punonjësve,public,2018-05-01 00:00:00,2018-04-30T22:00:00.000Z,2018-05-01T22:00:00.000Z
AL,,Dita Ndërkombëtare e Fëmijëve,observance,2018-06-01 00:00:00,2018-05-31T22:00:00.000Z,2018-06-01T22:00:00.000Z
AL,,Fitër Bajrami,public,2018-06-15 00:00:00 -0600,2018-06-14T16:00:00.000Z,2018-06-15T16:00:00.000Z
AL,,Kurban Bajrami,public,2018-08-21 00:00:00 -0600,2018-08-20T16:00:00.000Z,2018-08-21T16:00:00.000Z
